Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
VecAdd,Hip,,32,AMD Instinct MI210,100000.0,1386.0,1203729.6038460992,515625.09884559904,14819.88529834633,,,,,ns
VecAdd,Hip,,32,AMD Instinct MI210,1000000.0,94.0,7978332.510089225,7875345.691489359,24035.80868973377,,,,,ns
VecAdd,Hip,,32,AMD Instinct MI210,10000000.0,43.0,16159047.675860483,15783389.511627918,111375.18615916718,,,,,ns
VecAdd,Hip,,32,AMD Instinct MI210,100000000.0,5.0,135865487.9964888,134151888.60000011,999810.9936714172,,,,,ns
VecAdd,Kokkos,,32,AMD Instinct MI210,1000.0,4637.0,151606.90209068515,151509.3334052189,41230.334483502265,,,,,ns
VecAdd,Kokkos,,32,AMD Instinct MI210,10000.0,4790.0,148364.51358070484,147952.1169102296,44180.25594989562,,,,,ns
VecAdd,Kokkos,,32,AMD Instinct MI210,100000.0,2469.0,289547.97164858016,289071.2737950588,46717.04009720535,,,,,ns
VecAdd,Kokkos,,32,AMD Instinct MI210,1000000.0,62.0,11965943.079802297,11837247.129032267,98700.59677419355,,,,,ns
VecAdd,Kokkos,,32,AMD Instinct MI210,10000000.0,25.0,27886890.20089805,27394455.959999993,261736.36,,,,,ns
VecAdd,Kokkos,,32,AMD Instinct MI210,100000000.0,2.0,371283779.9685076,364429331.49999976,1519147.5,,,,,ns
VecAdd,OpenCL,,32,AMD Instinct MI210,1000.0,20261.0,79588.92685467434,45141.113567938395,4639.82888307586,,,,,ns
