Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,512.0,2733.0,454931.7717115319,253937.01280643986,400966.5733626052,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,1024.0,756.0,1512177.146862818,925996.2328042336,1032672.7830687831,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,2048.0,275.0,6714940.021999857,2527983.243636362,4735353.247272727,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,4096.0,77.0,60371072.77994177,8956857.766233757,52342253.50649351,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,8192.0,10.0,463118347.490672,40834246.399999864,425493342.6,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,16384.0,1.0,3516724754.0084643,154805599.99999955,3372380214.0,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,32.0,532.0,1327228.9074677273,1319361.022556391,12056.413533834586,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,64.0,543.0,1329417.0591740098,1316282.4014732963,12858.53038674033,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,128.0,526.0,1400741.449284576,1381881.0038022818,15315.929657794677,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,256.0,494.0,1432289.884082581,1419802.4939271256,22399.277327935222,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,512.0,251.0,2820802.5779382167,2788432.9561753003,89976.10756972112,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,1024.0,134.0,4867087.535337726,4786525.6119403,541538.276119403,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,2048.0,77.0,9080898.645636324,9051284.363636356,4070886.675324675,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,4096.0,17.0,42634508.572518826,42506851.76470584,33022992.29411765,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,8192.0,2.0,296295707.11404085,296263583.99999917,266547653.5,,,,,ns
MatrixMultiplication,RAJA,,32,NVIDIA GH200,16384.0,1.0,2203725329.6002746,2202713856.0000024,2124615067.0,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,32.0,547.0,1321638.2833887266,1293317.6745886654,1837.8647203494197,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,64.0,529.0,1316876.7031452958,1297914.6767485817,1716.990554872513,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,128.0,485.0,1353051.5835226811,1348859.2494845365,1856.6597862764424,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,256.0,506.0,1376936.0336478755,1352378.1185770743,1890.086949887601,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,512.0,254.0,2726209.0905166166,2690488.440944883,1806.1102119523769,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,1024.0,121.0,5839983.13219833,5749542.611570253,1949.3553718197936,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,2048.0,86.0,7897108.999692813,7894295.441860454,2028.6511537770546,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,4096.0,45.0,16482493.467628956,16114375.111111082,2050.844429888659,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,8192.0,15.0,49489277.13170027,46799313.06666679,2673.0666713168225,,,,,ns
MatrixMultiplication,Slang-Cuda,,32,NVIDIA GH200,16384.0,4.0,164618486.49487364,164288903.99999928,3200.0000355765224,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,32.0,178.0,4510965.015153202,3923114.6067415737,943028.4943820224,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,64.0,193.0,4150144.1767796334,3689074.735751294,783574.3575129533,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,128.0,190.0,4455885.031309567,3854776.7578947376,886930.4,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,256.0,186.0,4647798.868777451,4024317.41935484,914495.3440860215,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,512.0,157.0,4918504.942350896,4281233.528662418,889690.8917197452,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,1024.0,115.0,7260871.642147717,5986969.043478265,1350859.6782608696,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,2048.0,56.0,17643744.125962257,12029258.285714282,4935448.482142857,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,4096.0,17.0,84923418.59485297,39154381.176470585,40909337.23529412,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,8192.0,5.0,533881990.14589196,159407296.00000018,355866861.8,,,,,ns
MatrixMultiplication,Slang-Vulkan,,32,NVIDIA GH200,16384.0,1.0,3208914666.902274,592854784.0,2535619946.0,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,32.0,60435.0,11259.358050490448,11257.253181103662,10000.488442127906,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,64.0,49656.0,14045.480107586991,14043.014016433064,11390.20452714677,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,128.0,30945.0,22473.977058572134,22465.33294554855,15051.052674099208,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,256.0,14618.0,47958.799189203564,47923.515665617706,21595.164591599398,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,512.0,2384.0,244287.26611471415,243898.8053691275,74208.92030201343,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,1024.0,554.0,1247750.4556817054,1247687.5667870038,709711.1299638989,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,2048.0,104.0,6035187.111522716,6034807.999999994,3969816.4423076925,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,4096.0,17.0,38664443.74708568,38662345.411764555,30360564.352941178,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,8192.0,1.0,595617621.2057471,595533952.000011,545685261.0,,,,,ns
MatrixMultiplication,Stdpar,,32,NVIDIA GH200,16384.0,1.0,5191829901.188612,5191174111.999999,4966784519.0,,,,,ns
MatrixMultiplication,Vulkan,,32,NVIDIA GH200,32.0,194.0,4591228.046752129,3972915.9587628874,929420.381443299,,,,,ns
