Problem,Framework,Data Type,Problem Size,Iterations,Runtime,CPU Time,Time Unit
VecAdd,thrust,double,100000,827.0,790412.0231049525,739314.3313180172,ns
VecAdd,thrust,double,1000000,188.0,3997889.5950666135,3628154.1063829856,ns
VecAdd,thrust,double,10000000,13.0,55447749.79352951,52518515.92307684,ns
VecAdd,adaptivecpp,float,1000,9415.0,203241.56277843186,59683.297822623485,ns
VecAdd,adaptivecpp,float,10000,12448.0,187592.40030615104,61755.967223650376,ns
VecAdd,adaptivecpp,float,100000,7993.0,349216.8995475912,111417.07856874763,ns
VecAdd,adaptivecpp,float,1000000,1729.0,2363476.024250063,386478.6304222093,ns
VecAdd,adaptivecpp,float,10000000,242.0,17881073.003773354,2992065.0702479347,ns
VecAdd,adaptivecpp,float,100000000,26.0,144506292.34600526,28154002.46153849,ns
VecAdd,cuda2,float,1000,3399.0,228266.47913676917,208076.74610179462,ns
VecAdd,cuda2,float,10000,3165.0,246138.26690126935,228223.17251184833,ns
VecAdd,cuda2,float,100000,2029.0,375221.2268252159,346927.63380975864,ns
VecAdd,cuda2,float,1000000,370.0,2095963.2521545566,1951904.2675675664,ns
VecAdd,cuda2,float,10000000,26.0,29869096.353650093,27630056.115384605,ns
VecAdd,cuda2,float,100000000,3.0,232618006.56716028,232409137.66666675,ns
VecAdd,cuda2,double,1000,3279.0,233001.73547835785,209244.8889905459,ns
VecAdd,cuda2,double,10000,2991.0,268356.7543944082,241699.5229020392,ns
VecAdd,cuda2,double,100000,1110.0,745382.7757958893,680039.9405405401,ns
VecAdd,cuda2,double,1000000,198.0,3680665.074198535,3395051.494949493,ns
VecAdd,cuda2,double,10000000,10.0,53301147.18526602,51551096.00000003,ns
VecAdd,cuda2,double,100000000,2.0,465046903.1184912,463184194.0000001,ns
VecAdd,cuda3,float,1000,3295.0,220588.24814957805,201692.5896813354,ns
VecAdd,cuda3,float,10000,3105.0,235087.57088879263,214424.37906602258,ns
VecAdd,cuda3,float,100000,2139.0,377390.5598097396,349312.760635811,ns
VecAdd,cuda3,float,1000000,371.0,2114887.723342749,1895332.4231805927,ns
VecAdd,cuda3,float,10000000,25.0,28278577.17871666,27033079.72000001,ns
VecAdd,cuda3,float,100000000,3.0,239599571.2528626,236175437.33333334,ns
VecAdd,opencl,float,1000,8.0,124031097.39534557,92283245.12500001,ns
VecAdd,opencl,float,10000,9.0,122043785.1217058,90958264.22222222,ns
VecAdd,opencl,float,100000,7.0,122685688.68083613,91799255.28571425,ns
VecAdd,opencl,float,1000000,7.0,130939752.39566395,100919303.28571427,ns
VecAdd,opencl,float,10000000,4.0,189217858.9478135,153012537.00000006,ns
VecAdd,opencl,float,100000000,1.0,661344118.4163094,621349610.0000002,ns
VecAdd,boostcl,float,1000,9.0,96851374.95398521,63058574.999999985,ns
VecAdd,boostcl,float,10000,9.0,114258823.91631603,82097479.55555557,ns
VecAdd,boostcl,float,100000,7.0,111746134.7686393,82340735.71428573,ns
VecAdd,boostcl,float,1000000,9.0,116630470.38018703,87456962.55555554,ns
VecAdd,boostcl,float,10000000,6.0,143540343.26970577,111775719.83333333,ns
VecAdd,boostcl,float,100000000,2.0,358246336.6910815,324345637.5,ns
VecAdd,cuda,float,1000,3486.0,228811.93705249365,205133.62650602413,ns
VecAdd,cuda,float,10000,3309.0,243227.6513658286,223306.81897854334,ns
VecAdd,cuda,float,100000,1910.0,400056.02391134383,362792.9282722511,ns
VecAdd,cuda,float,1000000,354.0,2168931.0038493853,1994598.4632768359,ns
VecAdd,cuda,float,10000000,25.0,29241354.2419672,27311818.24,ns
VecAdd,cuda,float,100000000,3.0,240180657.55565962,236768595.33333337,ns
VecAdd,cuda,double,1000,3385.0,217484.10667151082,202845.59202363368,ns
VecAdd,cuda,double,10000,2884.0,272337.18838878546,247144.19521497944,ns
VecAdd,cuda,double,100000,1067.0,788666.3026891251,734341.8013120901,ns
VecAdd,cuda,double,1000000,199.0,3823279.4920703275,3502089.6080402024,ns
VecAdd,cuda,double,10000000,14.0,54576870.453144826,52007717.0714286,ns
VecAdd,cuda,double,100000000,2.0,474852456.71123266,467414294.5000002,ns
VecAdd,openacc,float,1000,26848.0,26132.11936163089,26123.775067044102,ns
VecAdd,openacc,float,10000,18997.0,37074.64548084632,37061.38606095699,ns
VecAdd,openacc,float,100000,4911.0,142282.88541680513,142243.0924455304,ns
VecAdd,openacc,float,1000000,677.0,1024989.0618169325,1024353.58788774,ns
VecAdd,openacc,float,10000000,31.0,22959515.332214292,22899936.838709675,ns
VecAdd,openacc,float,100000000,3.0,228074761.10756397,227894511.99999976,ns
VecAdd,nvhpccstd,float,1000,59158.0,14804.401063581337,13505.924625578957,ns
VecAdd,nvhpccstd,float,10000,27078.0,36466.69902616787,31270.666555875614,ns
VecAdd,nvhpccstd,float,100000,1872.0,849653.0652523804,600435.3851495727,ns
VecAdd,nvhpccstd,float,1000000,278.0,2503561.747106288,2502560.9784172694,ns
VecAdd,nvhpccstd,float,10000000,42.0,15902246.17116508,15887038.38095238,ns
VecAdd,nvhpccstd,float,100000000,3.0,175476456.6818873,175374902.66666675,ns
VecAdd,kokkos,float,1000,7652.0,91599.09578802632,91569.24973863042,ns
VecAdd,kokkos,float,10000,5967.0,117359.251515618,117318.26981732868,ns
VecAdd,kokkos,float,100000,2899.0,240105.2020353957,240029.57640565708,ns
VecAdd,kokkos,float,1000000,602.0,1147224.4471608603,1146421.6312292358,ns
VecAdd,kokkos,float,10000000,27.0,28342684.24797941,27345891.222222213,ns
VecAdd,kokkos,float,100000000,3.0,273598659.78360176,270488222.0,ns
VecAdd,kokkos,double,1000,7109.0,98680.19962003922,98643.85117456746,ns
VecAdd,kokkos,double,10000,5548.0,126293.00996489292,126246.24441240098,ns
VecAdd,kokkos,double,100000,1859.0,380571.43863585126,380429.4733727809,ns
VecAdd,kokkos,double,1000000,305.0,2334032.134443033,2331654.5868852492,ns
VecAdd,kokkos,double,10000000,13.0,56489450.85704327,54443801.61538462,ns
VecAdd,kokkos,double,100000000,1.0,572737116.3666248,559143144.0000001,ns
