file,dialect,loc,sloc,comment_lines,blank_lines,distinct_operators,distinct_operands,total_operators,total_operands,vocabulary,length,calculated_length,volume,difficulty,effort,time_seconds,delivered_bugs,program_level,language_level,dialect_distinct_operators,dialect_total_operators,dialect_distinct_operands,dialect_total_operands
src/polyhedralGravity/cpp/Impl_Cpp.cpp,cpp,405,243,97,65,54,136,1236,959,190,2195,1274.6588715268736,16615.83306028643,190.38970588235296,3163483.56933821,175749.0871854561,5.538611020095477,0.005252384814428609,0.4583900628475025,0,0,0,0
src/polyhedralGravity/cpp_128/impl_cpp_128.cpp,openmp,467,287,101,79,60,147,1372,1059,207,2431,1412.765270427457,18702.86679368086,216.12244897959184,4042109.374389394,224561.6319105219,6.234288931226954,0.004627006610009443,0.4004132318927181,3,6,0,0
src/polyhedralGravity/cuda/Impl_Cuda.cu,cuda+thrust,520,426,1,93,88,210,1995,1634,298,3629,2188.421541149968,29827.362560757185,342.3619047619048,10211752.660324756,567319.5922402642,9.942454186919061,0.0029208857238233,0.2544743333625462,23,47,0,0
src/polyhedralGravity/hip/Impl_Hip.hip,thrust+hip,567,459,10,98,92,212,2279,1822,304,4101,2238.4868363246433,33824.75073263214,395.33962264150944,13372264.19058191,742903.5661434395,11.274916910877382,0.0025294707201832674,0.2164182684852574,26,76,0,0
src/polyhedralGravity/kokkos/Impl_Kokkos.cpp,kokkos,438,254,120,64,65,143,1302,963,208,2265,1415.3155090061591,17441.49596158957,218.86363636363637,3817309.229775172,212072.73498750955,5.813831987196524,0.004569055036344756,0.36411327294353607,12,25,0,0
src/polyhedralGravity/main.cpp,cpp,145,116,1,28,41,121,558,430,162,988,1056.8420838995673,7251.7718028500085,72.85123966942149,528300.5656373787,29350.031424298817,2.4172572676166695,0.013726602382302893,1.3663760363806086,0,0,0,0
src/polyhedralGravity/openacc/Impl_OpenACC.cpp,openmp+openacc,331,274,0,57,71,142,1363,1015,213,2378,1451.8961364544973,18393.139476897042,253.75,4667259.142262625,259292.1745701458,6.131046492299014,0.003940886699507389,0.28565627084409,19,31,1,2
src/polyhedralGravity/opencl/Impl_OpenCL.cpp,opencl,236,180,5,51,77,124,782,501,201,1283,1344.86290612148,9816.299319782565,155.5524193548387,1526949.1083034354,84830.50601685751,3.272099773260855,0.006428701039479483,0.40568995263888136,30,80,0,0
src/polyhedralGravity/opencl/kernel/opencl_eval.cl,opencl,307,255,0,52,46,125,1099,944,171,2043,1124.8068855613835,15154.67268791189,173.696,2632306.0271995435,146239.22373330797,5.051557562637297,0.005757184966838615,0.502304335023294,6,14,0,0
src/polyhedralGravity/opencl/kernel/opencl_init.cl,opencl,35,28,0,7,20,21,121,101,41,222,178.67722777610123,1189.3765450252147,48.095238095238095,57203.34811787937,3177.963784326632,0.3964588483417382,0.020792079207920793,0.5141800376003527,4,8,0,0
